end_date,Close,High,Low,Open,Volume,ret_1d,ma_5,ma_20,ma_diff,vol_20,momentum
2023-07-18,0.12536551,0.060802657,0.067238905,0.083248116,0.061292216,0.13012902,0.065351434,0.13268909,0.1065267,0.15551104,0.1602839
2023-07-25,0.12425242,0.061520454,0.06728773,0.08366991,0.058254138,0.13030075,0.065706104,0.13240771,0.11001111,0.15828402,0.16506995
2023-08-01,0.1287625,0.061694395,0.0668849,0.088094816,0.0601561,0.130672,0.06725306,0.12764297,0.11452211,0.15670551,0.15575789
2023-08-08,0.12374184,0.062539786,0.07057965,0.09211249,0.060624473,0.12520286,0.06775192,0.12653834,0.113870695,0.15026589,0.1641209
2023-08-16,0.123837225,0.06048816,0.0715113,0.09199821,0.06285017,0.12544712,0.07003159,0.1261764,0.116551265,0.146264,0.16329344
2023-08-23,0.12632133,0.0600994,0.07341306,0.09458828,0.0652196,0.124584116,0.06990842,0.12728089,0.116403885,0.15105662,0.15781856
2023-08-30,0.12478345,0.05849843,0.075040124,0.09541199,0.06484608,0.12578437,0.07138223,0.12828153,0.121303074,0.15092757,0.15284093
2023-09-06,0.123122215,0.05923218,0.07543424,0.09319122,0.066481814,0.12765165,0.071894355,0.12716055,0.12242136,0.14371617,0.15411724
2023-09-13,0.121146984,0.059733,0.075429186,0.09158726,0.06798004,0.12983511,0.070599146,0.12880048,0.12012624,0.14660524,0.17452104
2023-09-21,0.12003045,0.061372805,0.07485248,0.09052429,0.065569736,0.13540499,0.07253301,0.1312661,0.12182479,0.17090301,0.18226649
2023-09-28,0.124648094,0.06211396,0.07373229,0.0945959,0.06387926,0.13836603,0.07392971,0.1293219,0.12378434,0.18280044,0.16961809
2023-10-06,0.12253105,0.06178816,0.075514585,0.095563084,0.062790275,0.13694933,0.074575186,0.12571499,0.12424838,0.17166069,0.1686175
2023-10-13,0.122472085,0.06169672,0.07636991,0.09383886,0.05955618,0.13822128,0.07582665,0.12413105,0.12447414,0.16117638,0.16778246
2023-10-20,0.12163864,0.06120448,0.07833374,0.0944148,0.06063016,0.14052463,0.075436205,0.117598526,0.11814332,0.141676,0.16006714
2023-10-30,0.1206156,0.063858025,0.08003979,0.09433782,0.058734946,0.13752022,0.076886944,0.11982112,0.13514242,0.1502157,0.16669896
